,depth_[m],thickness_[m],temp_[k],attenuation_model,twoway_loss_[db],sim_name
layer1,0.0,10.020040080155013,60.0,low_loss,9.208534019325777e-37,VarK_Conductivity_d5
layer2,10.020040080155013,10.020040080155013,67.40528279245704,low_loss,1.0959580516195076e-31,VarK_Conductivity_d5
layer3,20.040080160310026,10.020040080184117,74.81115430846941,low_loss,1.2908639524132527e-27,VarK_Conductivity_d5
layer4,30.060120240494143,10.020040080155013,82.21761461824559,low_loss,2.811385769411423e-24,VarK_Conductivity_d5
layer5,40.080160320649156,10.020040080155013,89.62466379200524,low_loss,1.721205080589906e-21,VarK_Conductivity_d5
layer6,50.10020040080417,10.020040080155013,97.03230189997919,low_loss,3.964421214697981e-19,VarK_Conductivity_d5
layer7,60.12024048095918,10.020040080155013,104.44052901240943,low_loss,4.2339978672174045e-17,VarK_Conductivity_d5
layer8,70.1402805611142,10.020040080155013,111.84934519954912,low_loss,2.445260024576555e-15,VarK_Conductivity_d5
layer9,80.16032064126921,10.020040080184117,119.25875053166263,low_loss,8.571564132367341e-14,VarK_Conductivity_d5
layer10,90.18036072145333,10.020040080155013,126.6687450790255,low_loss,1.9920947170703867e-12,VarK_Conductivity_d5
layer11,100.20040080160834,10.020040080155013,134.0793289119244,low_loss,3.2875588836313326e-11,VarK_Conductivity_d5
layer12,110.22044088176335,10.020040080155013,141.49050210065718,low_loss,4.0666537490636236e-10,VarK_Conductivity_d5
layer13,120.24048096191837,10.020040080155013,148.9022647155329,low_loss,3.936913713460042e-09,VarK_Conductivity_d5
layer14,130.26052104207338,10.020040080184117,156.31461682687186,low_loss,3.0887746428165755e-08,VarK_Conductivity_d5
layer15,140.2805611222575,10.020040080155013,163.7275585050055,low_loss,2.0207432256274642e-07,VarK_Conductivity_d5
layer16,150.3006012024125,10.020040080155013,171.1410898202764,low_loss,1.1286227023675908e-06,VarK_Conductivity_d5
layer17,160.32064128256752,10.020040080155013,178.5552108430383,low_loss,5.487923434539057e-06,VarK_Conductivity_d5
layer18,170.34068136272253,10.020040080155013,185.96992164365625,low_loss,2.3617482426584132e-05,VarK_Conductivity_d5
layer19,180.36072144287755,10.020040080155013,193.38522229250646,low_loss,9.121589801607108e-05,VarK_Conductivity_d5
layer20,190.38076152303256,10.020040080184117,200.8011128599763,low_loss,0.00031994067623814616,VarK_Conductivity_d5
layer21,200.40080160321668,10.020040080155013,208.21759341646444,low_loss,0.0010295493303816789,VarK_Conductivity_d5
layer22,210.4208416833717,10.020040080155013,215.63466403238053,low_loss,0.003066293535493084,VarK_Conductivity_d5
layer23,220.4408817635267,10.020040080155013,223.05232477814562,low_loss,0.008516751192191006,VarK_Conductivity_d5
layer24,230.46092184368172,10.020040080155013,230.47057572419195,low_loss,0.02220797788617188,VarK_Conductivity_d5
layer25,240.48096192383673,10.020040080184117,237.88941694096292,low_loss,0.054681779232338745,VarK_Conductivity_d5
layer26,250.50100200402085,10.020040080155013,237.95721675983665,low_loss,0.08740478477008917,VarK_Conductivity_d5
layer27,260.52104208417586,10.020040080155013,238.02504130038062,low_loss,0.12037885512500562,VarK_Conductivity_d5
layer28,270.5410821643309,10.020040080155013,238.09289057336278,low_loss,0.1536058644124785,VarK_Conductivity_d5
layer29,280.5611222444859,10.020040080155013,238.16076458955655,low_loss,0.18708770033256125,VarK_Conductivity_d5
layer30,290.5811623246409,10.020040080155013,238.2286633597408,low_loss,0.2208262642653757,VarK_Conductivity_d5
layer31,300.6012024047959,10.020040080184117,238.2965868946997,low_loss,0.25482347136726224,VarK_Conductivity_d5
layer32,310.62124248498003,10.020040080155013,238.3645352052228,low_loss,0.28908125066708884,VarK_Conductivity_d5
