,depth_[m],thickness_[m],temp_[k],attenuation_model,twoway_loss_[db],sim_name
layer1,0.0,10.004764173412696,60.0,low_loss,9.194495282375883e-37,VarK_Conductivity_0001
layer2,10.004764173412696,10.004764173412696,68.52872118697722,low_loss,5.167791086764484e-31,VarK_Conductivity_0001
layer3,20.00952834682539,10.004764173412696,77.05811937760951,low_loss,1.5511006406286095e-26,VarK_Conductivity_0001
layer4,30.014292520238087,10.004764173412696,85.58819465251017,low_loss,5.969291522190672e-23,VarK_Conductivity_0001
layer5,40.01905669365078,10.0047641734418,94.11894709230522,low_loss,5.1504947225198823e-20,VarK_Conductivity_0001
layer6,50.02382086706348,10.004764173412696,102.6503767776336,low_loss,1.4477332171349222e-17,VarK_Conductivity_0001
layer7,60.02858504050528,10.004764173412696,111.182483789147,low_loss,1.7183201862494916e-15,VarK_Conductivity_0001
layer8,70.03334921391797,10.004764173412696,119.7152682075099,low_loss,1.0368626277715978e-13,VarK_Conductivity_0001
layer9,80.03811338733067,10.004764173412696,128.24873011339957,low_loss,3.6448626632755854e-12,VarK_Conductivity_0001
layer10,90.04287756074336,10.004764173412696,136.78286958750616,low_loss,8.26570083216484e-11,VarK_Conductivity_0001
layer11,100.04764173415606,10.004764173412696,145.3176867105326,low_loss,1.3070897993896956e-09,VarK_Conductivity_0001
layer12,110.05240590756875,10.004764173412696,153.85318156319462,low_loss,1.5309425761273255e-08,VarK_Conductivity_0001
layer13,120.05717008098145,10.004764173412696,162.38935422622083,low_loss,1.3927123376767404e-07,VarK_Conductivity_0001
layer14,130.06193425439415,10.0047641734418,170.9262047803526,low_loss,1.0220316595182875e-06,VarK_Conductivity_0001
layer15,140.06669842783595,10.004764173412696,179.46373330634415,low_loss,6.238133339448177e-06,VarK_Conductivity_0001
layer16,150.07146260124864,10.004764173412696,188.00193988496258,low_loss,3.2470126408021006e-05,VarK_Conductivity_0001
layer17,160.07622677466134,10.004764173412696,196.54082459698765,low_loss,0.00014713134866767622,VarK_Conductivity_0001
layer18,170.08099094807403,10.004764173412696,205.08038752321207,low_loss,0.0005904362841287426,VarK_Conductivity_0001
layer19,180.08575512148673,10.004764173412696,213.6206287444414,low_loss,0.002128858962558105,VarK_Conductivity_0001
layer20,190.09051929489942,10.004764173412696,222.161548341494,low_loss,0.006981086519335722,VarK_Conductivity_0001
layer21,200.09528346831212,10.004764173412696,230.7031463952011,low_loss,0.021038474197956125,VarK_Conductivity_0001
layer22,210.1000476417248,10.004764173412696,239.24542298640665,low_loss,0.0587882684244243,VarK_Conductivity_0001
layer23,220.1048118151375,10.0047641734418,247.78837819596765,low_loss,0.1534938691706331,VarK_Conductivity_0001
layer24,230.1095759885502,10.004764173412696,256.3320121047538,low_loss,0.3769740768168577,VarK_Conductivity_0001
layer25,240.114340161992,10.004764173412696,264.87632479364765,low_loss,0.875945498799085,VarK_Conductivity_0001
layer26,250.1191043354047,10.004764173412696,264.87980159190613,low_loss,1.3750747685550235,VarK_Conductivity_0001
layer27,260.1238685088174,10.004764173412696,264.88327871205763,low_loss,1.8743619464939287,VarK_Conductivity_0001
layer28,270.1286326822301,10.004764173412696,264.88675615414655,low_loss,2.3738070930518225,VarK_Conductivity_0001
layer29,280.1333968556428,10.004764173412696,264.89023391821735,low_loss,2.87341026869151,VarK_Conductivity_0001
layer30,290.1381610290555,10.004764173412696,264.8937120043144,low_loss,3.3731715339025867,VarK_Conductivity_0001
layer31,300.1429252024682,10.004764173412696,264.8971904124822,low_loss,3.873090949201457,VarK_Conductivity_0001
layer32,310.1476893758809,10.0047641734418,264.9006691427652,low_loss,4.373168575132804,VarK_Conductivity_0001
layer33,320.1524535493227,10.004764173412696,264.9041481952078,low_loss,4.87340447226378,VarK_Conductivity_0001
layer34,330.15721772273537,10.004764173412696,264.9076275698545,low_loss,5.373798701192746,VarK_Conductivity_0001
layer35,340.16198189614806,10.004764173412696,264.9111072667497,low_loss,5.87435132254347,VarK_Conductivity_0001
layer36,350.16674606956076,10.004764173412696,264.91458728593784,low_loss,6.375062396966591,VarK_Conductivity_0001
layer37,360.17151024297345,10.004764173412696,264.9180676274635,low_loss,6.87593198513964,VarK_Conductivity_0001
layer38,370.17627441638615,10.004764173412696,264.921548291371,low_loss,7.376960147767045,VarK_Conductivity_0001
layer39,380.18103858979885,10.004764173412696,264.9250292777049,low_loss,7.878146945580152,VarK_Conductivity_0001
layer40,390.18580276321154,10.004764173412696,264.9285105865097,low_loss,8.379492439337229,VarK_Conductivity_0001
layer41,400.19056693662424,10.0047641734418,264.93199221782993,low_loss,8.88099668982495,VarK_Conductivity_0001
layer42,410.19533111003693,10.004764173412696,264.93547417171015,low_loss,9.38265975785257,VarK_Conductivity_0001
layer43,420.20009528347873,10.004764173412696,264.9389564481948,low_loss,9.884481704260683,VarK_Conductivity_0001
layer44,430.2048594568914,10.004764173412696,264.94243904732843,low_loss,10.386462589915407,VarK_Conductivity_0001
layer45,440.2096236303041,10.004764173412696,264.9459219691556,low_loss,10.888602475709858,VarK_Conductivity_0001
layer46,450.2143878037168,10.004764173412696,264.9494052137208,low_loss,11.390901422564154,VarK_Conductivity_0001
layer47,460.2191519771295,10.004764173412696,264.95288878106874,low_loss,11.893359491425446,VarK_Conductivity_0001
layer48,470.2239161505422,10.004764173412696,264.95637267124386,low_loss,12.39597674326792,VarK_Conductivity_0001
layer49,480.2286803239549,10.004764173412696,264.95985688429073,low_loss,12.898753239092795,VarK_Conductivity_0001
layer50,490.2334444973676,10.0047641734418,264.9633414202539,low_loss,13.401689039929838,VarK_Conductivity_0001
layer51,500.2382086708094,10.004764173412696,264.9668262791781,low_loss,13.904784206831488,VarK_Conductivity_0001
layer52,510.2429728442221,10.004764173412696,264.9703114611079,low_loss,14.408038800881679,VarK_Conductivity_0001
layer53,520.2477370176348,10.004764173412696,264.97379696608783,low_loss,14.91145288318997,VarK_Conductivity_0001
layer54,530.2525011910475,10.004764173412696,264.97728279416253,low_loss,15.415026514893047,VarK_Conductivity_0001
layer55,540.2572653644602,10.004764173412696,264.9807689453767,low_loss,15.918759757154728,VarK_Conductivity_0001
layer56,550.2620295378729,10.004764173412696,264.9842554197749,low_loss,16.422652671165963,VarK_Conductivity_0001
layer57,560.2667937112856,10.004764173412696,264.98774221740183,low_loss,16.92670531814488,VarK_Conductivity_0001
layer58,570.2715578846983,10.004764173412696,264.99122933830205,low_loss,17.430917759336758,VarK_Conductivity_0001
layer59,580.276322058111,10.0047641734418,264.9947167825203,low_loss,17.935290056015543,VarK_Conductivity_0001
layer60,590.2810862315237,10.004764173412696,264.9982045501013,low_loss,18.43982226947798,VarK_Conductivity_0001
layer61,600.2858504049655,10.004764173412696,265.00169264108973,low_loss,18.944514461052425,VarK_Conductivity_0001
layer62,610.2906145783782,10.004764173412696,265.0051810555301,low_loss,19.449366692092983,VarK_Conductivity_0001
layer63,620.2953787517908,10.004764173412696,265.0086697934671,low_loss,19.954379023981005,VarK_Conductivity_0001
layer64,630.3001429252035,10.004764173412696,265.0121588549455,low_loss,20.459551518125096,VarK_Conductivity_0001
layer65,640.3049070986162,10.004764173412696,265.01564824001,low_loss,20.96488423596113,VarK_Conductivity_0001
layer66,650.3096712720289,10.004764173412696,265.01913794870535,low_loss,21.470377238952256,VarK_Conductivity_0001
layer67,660.3144354454416,10.004764173412696,265.0226279810763,low_loss,21.97603058858893,VarK_Conductivity_0001
layer68,670.3191996188543,10.0047641734418,265.0261183371676,low_loss,22.481844346390375,VarK_Conductivity_0001
layer69,680.3239637922961,10.004764173412696,265.029609017024,low_loss,22.987818573898736,VarK_Conductivity_0001
layer70,690.3287279657088,10.004764173412696,265.03310002069014,low_loss,23.493953332687894,VarK_Conductivity_0001
layer71,700.3334921391215,10.004764173412696,265.0365913482108,low_loss,24.00024868435761,VarK_Conductivity_0001
layer72,710.3382563125342,10.004764173412696,265.0400829996307,low_loss,24.506704690535013,VarK_Conductivity_0001
layer73,720.3430204859469,10.004764173412696,265.0435749749947,low_loss,25.0133214128746,VarK_Conductivity_0001
layer74,730.3477846593596,10.004764173412696,265.0470672743476,low_loss,25.520098913058266,VarK_Conductivity_0001
layer75,740.3525488327723,10.004764173412696,265.0505598977342,low_loss,26.027037252795314,VarK_Conductivity_0001
layer76,750.357313006185,10.004764173412696,265.05405284519924,low_loss,26.534136493822466,VarK_Conductivity_0001
layer77,760.3620771795977,10.0047641734418,265.0575461167874,low_loss,27.04139669790532,VarK_Conductivity_0001
layer78,770.3668413530104,10.004764173412696,265.0610397125437,low_loss,27.548817926832537,VarK_Conductivity_0001
layer79,780.3716055264522,10.004764173412696,265.06453363251285,low_loss,28.05640024242463,VarK_Conductivity_0001
layer80,790.3763696998649,10.004764173412696,265.0680278767397,low_loss,28.564143706528135,VarK_Conductivity_0001
layer81,800.3811338732776,10.004764173412696,265.0715224452692,low_loss,29.07204838101706,VarK_Conductivity_0001
layer82,810.3858980466903,10.004764173412696,265.075017338146,low_loss,29.580114327792913,VarK_Conductivity_0001
layer83,820.390662220103,10.004764173412696,265.0785125554151,low_loss,30.08834160878472,VarK_Conductivity_0001
layer84,830.3954263935157,10.004764173412696,265.08200809712133,low_loss,30.596730285949032,VarK_Conductivity_0001
layer85,840.4001905669284,10.004764173412696,265.08550396330963,low_loss,31.10528042126996,VarK_Conductivity_0001
layer86,850.404954740341,10.0047641734418,265.08900015402475,low_loss,31.61399207676062,VarK_Conductivity_0001
layer87,860.4097189137829,10.004764173412696,265.0924966693116,low_loss,32.12286531445727,VarK_Conductivity_0001
layer88,870.4144830871955,10.004764173412696,265.095993509215,low_loss,32.631900196428205,VarK_Conductivity_0001
layer89,880.4192472606082,10.004764173412696,265.09949067378,low_loss,33.14109678476782,VarK_Conductivity_0001
layer90,890.4240114340209,10.004764173412696,265.1029881630514,low_loss,33.650455141598115,VarK_Conductivity_0001
layer91,900.4287756074336,10.004764173412696,265.1064859770742,low_loss,34.159975329068736,VarK_Conductivity_0001
layer92,910.4335397808463,10.004764173412696,265.10998411589327,low_loss,34.66965740935695,VarK_Conductivity_0001
layer93,920.438303954259,10.004764173412696,265.11348257955353,low_loss,35.179501444667686,VarK_Conductivity_0001
layer94,930.4430681276717,10.004764173412696,265.1169813681,low_loss,35.689507497233535,VarK_Conductivity_0001
layer95,940.4478323010844,10.004764173412696,265.12048048157766,low_loss,36.199675629314775,VarK_Conductivity_0001
layer96,950.4525964744971,10.0047641734418,265.12397992003133,low_loss,36.71000590320086,VarK_Conductivity_0001
layer97,960.4573606479389,10.004764173412696,265.1274796835061,low_loss,37.220498381204486,VarK_Conductivity_0001
layer98,970.4621248213516,10.004764173412696,265.130979772047,low_loss,37.731153125670545,VarK_Conductivity_0001
layer99,980.4668889947643,10.004764173412696,265.13448018569886,low_loss,38.24197019897017,VarK_Conductivity_0001
layer100,990.471653168177,10.004764173412696,265.13798092450673,low_loss,38.75294966350224,VarK_Conductivity_0001
layer101,1000.4764173415897,10.004764173412696,265.1414819885157,low_loss,39.26409158169341,VarK_Conductivity_0001
layer102,1010.4811815150024,10.004764173412696,265.1449833777707,low_loss,39.7753960159981,VarK_Conductivity_0001
layer103,1020.4859456884151,10.004764173412696,265.1484850923167,low_loss,40.28686302889852,VarK_Conductivity_0001
layer104,1030.4907098618278,10.004764173412696,265.15198713219877,low_loss,40.7984926829047,VarK_Conductivity_0001
layer105,1040.4954740352696,10.0047641734418,265.155489497462,low_loss,41.31028504055597,VarK_Conductivity_0001
layer106,1050.5002382086823,10.004764173412696,265.1589921881514,low_loss,41.82224016441502,VarK_Conductivity_0001
layer107,1060.505002382095,10.004764173412696,265.162495204312,low_loss,42.33435811707687,VarK_Conductivity_0001
layer108,1070.5097665555077,10.004764173412696,265.1659985459889,low_loss,42.846638961162895,VarK_Conductivity_0001
layer109,1080.5145307289204,10.004764173412696,265.16950221322713,low_loss,43.35908275932236,VarK_Conductivity_0001
layer110,1090.519294902333,10.004764173412696,265.17300620607176,low_loss,43.87168957423241,VarK_Conductivity_0001
layer111,1100.5240590757458,10.004764173412696,265.176510524568,low_loss,44.38445946859811,VarK_Conductivity_0001
layer112,1110.5288232491584,10.004764173412696,265.18001516876086,low_loss,44.89739250515242,VarK_Conductivity_0001
layer113,1120.5335874225711,10.004764173412696,265.18352013869537,low_loss,45.410488746656235,VarK_Conductivity_0001
layer114,1130.5383515959838,10.0047641734418,265.1870254344167,low_loss,45.9237482558999,VarK_Conductivity_0001
layer115,1140.5431157694256,10.004764173412696,265.19053105597004,low_loss,46.437171095697245,VarK_Conductivity_0001
layer116,1150.5478799428383,10.004764173412696,265.1940370034004,low_loss,46.95075732889453,VarK_Conductivity_0001
layer117,1160.552644116251,10.004764173412696,265.19754327675304,low_loss,47.464507018364536,VarK_Conductivity_0001
layer118,1170.5574082896637,10.004764173412696,265.2010498760731,low_loss,47.97842022700803,VarK_Conductivity_0001
layer119,1180.5621724630764,10.004764173412696,265.2045568014057,low_loss,48.4924970177538,VarK_Conductivity_0001
layer120,1190.5669366364891,10.004764173412696,265.208064052796,low_loss,49.00673745355866,VarK_Conductivity_0001
layer121,1200.5717008099018,10.004764173412696,265.2115716302891,low_loss,49.521141597407464,VarK_Conductivity_0001
layer122,1210.5764649833145,10.004764173412696,265.21507953393024,low_loss,50.03570951231314,VarK_Conductivity_0001
layer123,1220.5812291567563,10.0047641734418,265.2185877637646,low_loss,50.55044126131818,VarK_Conductivity_0001
layer124,1230.585993330169,10.004764173412696,265.2220963198374,low_loss,51.06533690748866,VarK_Conductivity_0001
layer125,1240.5907575035817,10.004764173412696,265.22560520219395,low_loss,51.58039651392324,VarK_Conductivity_0001
layer126,1250.5955216769944,10.004764173412696,265.22911441087933,low_loss,52.09562014374724,VarK_Conductivity_0001
layer127,1260.600285850407,10.004764173412696,265.23262394593866,low_loss,52.611007860114064,VarK_Conductivity_0001
layer128,1270.6050500238198,10.004764173412696,265.23613380741733,low_loss,53.12655972620528,VarK_Conductivity_0001
layer129,1280.6098141972325,10.004764173412696,265.2396439953604,low_loss,53.642275805230604,VarK_Conductivity_0001
layer130,1290.6145783706452,10.004764173412696,265.2431545098131,low_loss,54.15815616042792,VarK_Conductivity_0001
layer131,1300.6193425440579,10.004764173412696,265.2466653508208,low_loss,54.6742008550633,VarK_Conductivity_0001
layer132,1310.6241067174706,10.0047641734418,265.2501765184287,low_loss,55.190409952432525,VarK_Conductivity_0001
layer133,1320.6288708909124,10.004764173412696,265.2536880126821,low_loss,55.70678351585507,VarK_Conductivity_0001
layer134,1330.633635064325,10.004764173412696,265.2571998336264,low_loss,56.22332160868316,VarK_Conductivity_0001
layer135,1340.6383992377378,10.004764173412696,265.26071198130677,low_loss,56.740024294295765,VarK_Conductivity_0001
layer136,1350.6431634111505,10.004764173412696,265.26422445576856,low_loss,57.256891636100086,VarK_Conductivity_0001
layer137,1360.6479275845631,10.004764173412696,265.2677372570571,low_loss,57.773923697531615,VarK_Conductivity_0001
layer138,1370.6526917579758,10.004764173412696,265.2712503852176,low_loss,58.29112054205411,VarK_Conductivity_0001
layer139,1380.6574559313885,10.004764173412696,265.2747638402954,low_loss,58.808482233159665,VarK_Conductivity_0001
layer140,1390.6622201048012,10.004764173412696,265.27827762233574,low_loss,59.326008834368636,VarK_Conductivity_0001
layer141,1400.666984278243,10.0047641734418,265.281791731384,low_loss,59.84370040923124,VarK_Conductivity_0001
layer142,1410.6717484516557,10.004764173412696,265.28530616748554,low_loss,60.361557021321495,VarK_Conductivity_0001
layer143,1420.6765126250684,10.004764173412696,265.28882093068574,low_loss,60.87957873424636,VarK_Conductivity_0001
layer144,1430.6812767984811,10.004764173412696,265.2923360210299,low_loss,61.39776561163954,VarK_Conductivity_0001
layer145,1440.6860409718938,10.004764173412696,265.2958514385634,low_loss,61.91611771716325,VarK_Conductivity_0001
layer146,1450.6908051453065,10.004764173412696,265.2993671833316,low_loss,62.434635114508026,VarK_Conductivity_0001
layer147,1460.6955693187192,10.004764173412696,265.30288325537987,low_loss,62.953317867392826,VarK_Conductivity_0001
layer148,1470.700333492132,10.004764173412696,265.3063996547537,low_loss,63.47216603956507,VarK_Conductivity_0001
layer149,1480.7050976655446,10.004764173412696,265.30991638149857,low_loss,63.99117969480058,VarK_Conductivity_0001
layer150,1490.7098618389573,10.0047641734418,265.31343343565976,low_loss,64.51035889690516,VarK_Conductivity_0001
layer151,1500.714626012399,10.004764173412696,265.3169508172827,low_loss,65.02970370970857,VarK_Conductivity_0001
layer152,1510.7193901858118,10.004764173412696,265.3204685264129,low_loss,65.54921419707357,VarK_Conductivity_0001
layer153,1520.7241543592245,10.004764173412696,265.3239865630958,low_loss,66.06889042288991,VarK_Conductivity_0001
layer154,1530.7289185326372,10.004764173412696,265.32750492737676,low_loss,66.58873245107584,VarK_Conductivity_0001
layer155,1540.7336827060499,10.004764173412696,265.33102361930116,low_loss,67.10874034557816,VarK_Conductivity_0001
layer156,1550.7384468794626,10.004764173412696,265.3345426389145,low_loss,67.62891417037218,VarK_Conductivity_0001
layer157,1560.7432110528753,10.004764173412696,265.3380619862623,low_loss,68.14925398946181,VarK_Conductivity_0001
layer158,1570.747975226288,10.004764173412696,265.34158166138997,low_loss,68.6697598668795,VarK_Conductivity_0001
layer159,1580.7527393997298,10.0047641734418,265.345101664343,low_loss,69.1904318666878,VarK_Conductivity_0001
layer160,1590.7575035731425,10.004764173412696,265.3486219951671,low_loss,69.71127005297333,VarK_Conductivity_0001
layer161,1600.7622677465552,10.004764173412696,265.35214265390755,low_loss,70.23227448985585,VarK_Conductivity_0001
layer162,1610.7670319199678,10.004764173412696,265.35566364061,low_loss,70.75344524148227,VarK_Conductivity_0001
layer163,1620.7717960933805,10.004764173412696,265.3591849553198,low_loss,71.27478237202808,VarK_Conductivity_0001
layer164,1630.7765602667932,10.004764173412696,265.3627065980825,low_loss,71.79628594569749,VarK_Conductivity_0001
layer165,1640.781324440206,10.004764173412696,265.3662285689438,low_loss,72.31795602672335,VarK_Conductivity_0001
layer166,1650.7860886136186,10.004764173412696,265.36975086794916,low_loss,72.8397926793672,VarK_Conductivity_0001
layer167,1660.7908527870313,10.004764173412696,265.373273495144,low_loss,73.36179596791928,VarK_Conductivity_0001
layer168,1670.795616960444,10.0047641734418,265.3767964505739,low_loss,73.88396595670005,VarK_Conductivity_0001
layer169,1680.8003811338567,10.004764173412696,265.3803197342845,low_loss,74.40630271005418,VarK_Conductivity_0001
layer170,1690.8051453072985,10.004764173412696,265.3838433463214,low_loss,74.92880629235958,VarK_Conductivity_0001
layer171,1700.8099094807112,10.004764173412696,265.3873672867302,low_loss,75.45147676802146,VarK_Conductivity_0001
layer172,1710.814673654124,10.004764173412696,265.39089155555644,low_loss,75.97431420147379,VarK_Conductivity_0001
layer173,1720.8194378275366,10.004764173412696,265.3944161528458,low_loss,76.49731865717929,VarK_Conductivity_0001
layer174,1730.8242020009493,10.004764173412696,265.39794107864384,low_loss,77.02049019962953,VarK_Conductivity_0001
layer175,1740.828966174362,10.004764173412696,265.4014663329962,low_loss,77.54382889334488,VarK_Conductivity_0001
layer176,1750.8337303477747,10.004764173412696,265.4049919159486,low_loss,78.06733480287453,VarK_Conductivity_0001
layer177,1760.8384945212165,10.0047641734418,265.40851782754646,low_loss,78.59100799279803,VarK_Conductivity_0001
layer178,1770.8432586946292,10.004764173412696,265.4120440678355,low_loss,79.11484852771925,VarK_Conductivity_0001
layer179,1780.8480228680419,10.004764173412696,265.41557063686133,low_loss,79.63885647227546,VarK_Conductivity_0001
layer180,1790.8527870414546,10.004764173412696,265.4190975346697,low_loss,80.16303189113135,VarK_Conductivity_0001
layer181,1800.8575512148673,10.004764173412696,265.4226247613062,low_loss,80.68737484898048,VarK_Conductivity_0001
layer182,1810.86231538828,10.004764173412696,265.4261523168166,low_loss,81.21188541054534,VarK_Conductivity_0001
layer183,1820.8670795616927,10.004764173412696,265.4296802012465,low_loss,81.73656364057732,VarK_Conductivity_0001
layer184,1830.8718437351054,10.004764173412696,265.4332084146417,low_loss,82.2614096038568,VarK_Conductivity_0001
layer185,1840.876607908518,10.004764173412696,265.43673695704774,low_loss,82.78642336519312,VarK_Conductivity_0001
layer186,1850.8813720819307,10.0047641734418,265.4402658285104,low_loss,83.31160498942607,VarK_Conductivity_0001
layer187,1860.8861362553434,10.004764173412696,265.44379502907543,low_loss,83.83695454141993,VarK_Conductivity_0001
layer188,1870.8909004287852,10.004764173412696,265.4473245587886,low_loss,84.3624720860725,VarK_Conductivity_0001
layer189,1880.895664602198,10.004764173412696,265.4508544176956,low_loss,84.88815768830911,VarK_Conductivity_0001
layer190,1890.9004287756106,10.004764173412696,265.4543846058422,low_loss,85.41401141308411,VarK_Conductivity_0001
layer191,1900.9051929490233,10.004764173412696,265.45791512327406,low_loss,85.94003332538091,VarK_Conductivity_0001
layer192,1910.909957122436,10.004764173412696,265.461445970037,low_loss,86.46622349021197,VarK_Conductivity_0001
layer193,1920.9147212958487,10.004764173412696,265.4649771461768,low_loss,86.99258197261885,VarK_Conductivity_0001
layer194,1930.9194854692614,10.004764173412696,265.46850865173934,low_loss,87.51910883767218,VarK_Conductivity_0001
layer195,1940.924249642674,10.0047641734418,265.47204048677037,low_loss,88.04580415047324,VarK_Conductivity_0001
layer196,1950.929013816116,10.004764173412696,265.4755726513157,low_loss,88.57266797614786,VarK_Conductivity_0001
layer197,1960.9337779895286,10.004764173412696,265.47910514542104,low_loss,89.09970037985555,VarK_Conductivity_0001
layer198,1970.9385421629413,10.004764173412696,265.4826379691322,low_loss,89.62690142678349,VarK_Conductivity_0001
layer199,1980.943306336354,10.004764173412696,265.486171122495,low_loss,90.15427118214801,VarK_Conductivity_0001
layer200,1990.9480705097667,10.004764173412696,265.48970460555535,low_loss,90.68180971119462,VarK_Conductivity_0001
layer201,2000.9528346831794,10.004764173412696,265.49323841835894,low_loss,91.20951707919802,VarK_Conductivity_0001
layer202,2010.957598856592,10.004764173412696,265.4967725609517,low_loss,91.73739335146213,VarK_Conductivity_0001
layer203,2020.9623630300048,10.004764173412696,265.50030703337944,low_loss,92.26543859332008,VarK_Conductivity_0001
layer204,2030.9671272034175,10.0047641734418,265.50384183568815,low_loss,92.79365287013582,VarK_Conductivity_0001
layer205,2040.9718913768302,10.004764173412696,265.5073769679236,low_loss,93.32203624729789,VarK_Conductivity_0001
layer206,2050.976655550272,10.004764173412696,265.5109124301317,low_loss,93.85058879022874,VarK_Conductivity_0001
layer207,2060.9814197236847,10.004764173412696,265.51444822235845,low_loss,94.37931056437857,VarK_Conductivity_0001
layer208,2070.9861838970974,10.004764173412696,265.51798434464956,low_loss,94.90820163522687,VarK_Conductivity_0001
layer209,2080.99094807051,10.004764173412696,265.52152079705104,low_loss,95.43726206828246,VarK_Conductivity_0001
layer210,2090.9957122439228,10.004764173412696,265.52505757960887,low_loss,95.96649192908349,VarK_Conductivity_0001
layer211,2101.0004764173354,10.004764173412696,265.528594692369,low_loss,96.49589128319742,VarK_Conductivity_0001
layer212,2111.005240590748,10.004764173412696,265.53213213537725,low_loss,97.02546019622112,VarK_Conductivity_0001
layer213,2121.010004764161,10.0047641734418,265.5356699086796,low_loss,97.55519873378233,VarK_Conductivity_0001
layer214,2131.0147689376026,10.004764173412696,265.5392080123219,low_loss,98.0851069615336,VarK_Conductivity_0001
layer215,2141.0195331110153,10.004764173412696,265.5427464463501,low_loss,98.61518494516143,VarK_Conductivity_0001
layer216,2151.024297284428,10.004764173412696,265.54628521081025,low_loss,99.14543275038031,VarK_Conductivity_0001
