,depth_[m],thickness_[m],temp_[k],attenuation_model,twoway_loss_[db],sim_name
layer1,0.0,10.004764173412696,60.0,high_loss,1.6903515038515212e-12,VarK_Regolith_0
layer2,10.004764173412696,10.004764173412696,60.0397018769221,high_loss,3.422282895124875e-12,VarK_Regolith_0
layer3,20.00952834682539,10.004764173412696,60.079433180226154,high_loss,5.196791877019724e-12,VarK_Regolith_0
layer4,30.014292520238087,10.004764173412696,60.11919393393625,high_loss,7.014899473928763e-12,VarK_Regolith_0
layer5,40.01905669365078,10.0047641734418,60.15898416209782,high_loss,8.877650561688277e-12,VarK_Regolith_0
layer6,50.02382086706348,10.004764173412696,60.19880388877768,high_loss,1.0786114409508409e-11,VarK_Regolith_0
layer7,60.02858504050528,10.004764173412696,60.23865313806403,high_loss,1.2741385233914686e-11,VarK_Regolith_0
layer8,70.03334921391797,10.004764173412696,60.27853193406648,high_loss,1.4744582764848218e-11,VarK_Regolith_0
layer9,80.03811338733067,10.004764173412696,60.31844030091604,high_loss,1.6796852824266773e-11,VarK_Regolith_0
layer10,90.04287756074336,10.004764173412696,60.35837826276518,high_loss,1.889936791748051e-11,VarK_Regolith_0
layer11,100.04764173415606,10.004764173412696,60.39834584378785,high_loss,2.1053327837499703e-11,VarK_Regolith_0
layer12,110.05240590756875,10.004764173412696,60.43834306817949,high_loss,2.3259960282671738e-11,VarK_Regolith_0
layer13,120.05717008098145,10.004764173412696,60.47836996015705,high_loss,2.5520521487890822e-11,VarK_Regolith_0
layer14,130.06193425439415,10.0047641734418,60.51842654395901,high_loss,2.7836296869675768e-11,VarK_Regolith_0
layer15,140.06669842783595,10.004764173412696,60.558512843845385,high_loss,3.0208601685370634e-11,VarK_Regolith_0
layer16,150.07146260124864,10.004764173412696,60.59862888409778,high_loss,3.2638781706870214e-11,VarK_Regolith_0
layer17,160.07622677466134,10.004764173412696,60.638774689019385,high_loss,3.5128213909042834e-11,VarK_Regolith_0
layer18,170.08099094807403,10.004764173412696,60.67895028293503,high_loss,3.7678307173264945e-11,VarK_Regolith_0
layer19,180.08575512148673,10.004764173412696,60.719155690191144,high_loss,4.0290503006347135e-11,VarK_Regolith_0
layer20,190.09051929489942,10.004764173412696,60.75939093515584,high_loss,4.296627627518463e-11,VarK_Regolith_0
layer21,200.09528346831212,10.004764173412696,60.799656042218906,high_loss,4.57071359574657e-11,VarK_Regolith_0
layer22,210.1000476417248,10.004764173412696,60.83995103579179,high_loss,4.851462590877774e-11,VarK_Regolith_0
layer23,220.1048118151375,10.0047641734418,60.88027594030768,high_loss,5.139032564646659e-11,VarK_Regolith_0
layer24,230.1095759885502,10.004764173412696,60.92063078022152,high_loss,5.433585115055277e-11,VarK_Regolith_0
layer25,240.114340161992,10.004764173412696,60.96101558001001,high_loss,5.735285568219152e-11,VarK_Regolith_0
layer26,250.1191043354047,10.004764173412696,61.001430364171604,high_loss,6.044303061987796e-11,VarK_Regolith_0
layer27,260.1238685088174,10.004764173412696,61.0418751572266,high_loss,6.360810631389916e-11,VarK_Regolith_0
layer28,270.1286326822301,10.004764173412696,61.082349983717066,high_loss,6.684985295936661e-11,VarK_Regolith_0
layer29,280.1333968556428,10.004764173412696,61.12285486820694,high_loss,7.017008148822916e-11,VarK_Regolith_0
layer30,290.1381610290555,10.004764173412696,61.16338983528205,high_loss,7.357064448066649e-11,VarK_Regolith_0
