,depth_[m],thickness_[m],temp_[k],attenuation_model,twoway_loss_[db],sim_name
layer1,0.0,10.004764173412696,60.0,low_loss,9.194495282375883e-37,VarK_Regolith_0
layer2,10.004764173412696,10.004764173412696,60.0397018769221,low_loss,1.9059060796114642e-36,VarK_Regolith_0
layer3,20.00952834682539,10.004764173412696,60.079433180226154,low_loss,2.96420962370833e-36,VarK_Regolith_0
layer4,30.014292520238087,10.004764173412696,60.11919393393625,low_loss,4.099546568429123e-36,VarK_Regolith_0
layer5,40.01905669365078,10.0047641734418,60.15898416209782,low_loss,5.317474329610166e-36,VarK_Regolith_0
layer6,50.02382086706348,10.004764173412696,60.19880388877768,low_loss,6.623947626803554e-36,VarK_Regolith_0
layer7,60.02858504050528,10.004764173412696,60.23865313806403,low_loss,8.025346625387394e-36,VarK_Regolith_0
layer8,70.03334921391797,10.004764173412696,60.27853193406648,low_loss,9.52850705333082e-36,VarK_Regolith_0
layer9,80.03811338733067,10.004764173412696,60.31844030091604,low_loss,1.1140752429903928e-35,VarK_Regolith_0
layer10,90.04287756074336,10.004764173412696,60.35837826276518,low_loss,1.2869928552993572e-35,VarK_Regolith_0
layer11,100.04764173415606,10.004764173412696,60.39834584378785,low_loss,1.472444040179911e-35,VarK_Regolith_0
layer12,110.05240590756875,10.004764173412696,60.43834306817949,low_loss,1.6713291622453705e-35,VarK_Regolith_0
layer13,120.05717008098145,10.004764173412696,60.47836996015705,low_loss,1.8846126775625828e-35,VarK_Regolith_0
layer14,130.06193425439415,10.0047641734418,60.51842654395901,low_loss,2.11332765374528e-35,VarK_Regolith_0
layer15,140.06669842783595,10.004764173412696,60.558512843845385,low_loss,2.3585806058238937e-35,VarK_Regolith_0
layer16,150.07146260124864,10.004764173412696,60.59862888409778,low_loss,2.6215566697508024e-35,VarK_Regolith_0
layer17,160.07622677466134,10.004764173412696,60.638774689019385,low_loss,2.903525136873702e-35,VarK_Regolith_0
layer18,170.08099094807403,10.004764173412696,60.67895028293503,low_loss,3.2058453743314976e-35,VarK_Regolith_0
layer19,180.08575512148673,10.004764173412696,60.719155690191144,low_loss,3.529973158020054e-35,VarK_Regolith_0
layer20,190.09051929489942,10.004764173412696,60.75939093515584,low_loss,3.877467446602185e-35,VarK_Regolith_0
layer21,200.09528346831212,10.004764173412696,60.799656042218906,low_loss,4.2499976269815683e-35,VarK_Regolith_0
layer22,210.1000476417248,10.004764173412696,60.83995103579179,low_loss,4.649351263737578e-35,VarK_Regolith_0
layer23,220.1048118151375,10.0047641734418,60.88027594030768,low_loss,5.077442387237384e-35,VarK_Regolith_0
layer24,230.1095759885502,10.004764173412696,60.92063078022152,low_loss,5.536320357500671e-35,VarK_Regolith_0
layer25,240.114340161992,10.004764173412696,60.96101558001001,low_loss,6.028179343446157e-35,VarK_Regolith_0
layer26,250.1191043354047,10.004764173412696,61.001430364171604,low_loss,6.555368459803716e-35,VarK_Regolith_0
layer27,260.1238685088174,10.004764173412696,61.0418751572266,low_loss,7.120402606899884e-35,VarK_Regolith_0
layer28,270.1286326822301,10.004764173412696,61.082349983717066,low_loss,7.725974061572422e-35,VarK_Regolith_0
layer29,280.1333968556428,10.004764173412696,61.12285486820694,low_loss,8.374964870759796e-35,VarK_Regolith_0
layer30,290.1381610290555,10.004764173412696,61.16338983528205,low_loss,9.070460102812491e-35,VarK_Regolith_0
layer31,300.1429252024682,10.004764173412696,61.20395490955006,low_loss,9.815762015310591e-35,VarK_Regolith_0
layer32,310.1476893758809,10.0047641734418,61.244550115640585,low_loss,1.0614405202163573e-34,VarK_Regolith_0
layer33,320.1524535493227,10.004764173412696,61.28517547820515,low_loss,1.1470172787008813e-34,VarK_Regolith_0
layer34,330.15721772273537,10.004764173412696,61.3258310219172,low_loss,1.2387113734516997e-34,VarK_Regolith_0
layer35,340.16198189614806,10.004764173412696,61.36651677147219,low_loss,1.3369561355978416e-34,VarK_Regolith_0
layer36,350.16674606956076,10.004764173412696,61.407232751587536,low_loss,1.4422153090798318e-34,VarK_Regolith_0
layer37,360.17151024297345,10.004764173412696,61.447978987002706,low_loss,1.554985165099944e-34,VarK_Regolith_0
layer38,370.17627441638615,10.004764173412696,61.488755502479194,low_loss,1.6757967621734606e-34,VarK_Regolith_0
layer39,380.18103858979885,10.004764173412696,61.5295623228005,low_loss,1.805218361709244e-34,VarK_Regolith_0
layer40,390.18580276321154,10.004764173412696,61.570399472772245,low_loss,1.9438580097182465e-34,VarK_Regolith_0
layer41,400.19056693662424,10.0047641734418,61.611266977222115,low_loss,2.0923662959639666e-34,VarK_Regolith_0
layer42,410.19533111003693,10.004764173412696,61.652164860999946,low_loss,2.251439302628731e-34,VarK_Regolith_0
layer43,420.20009528347873,10.004764173412696,61.693093148977695,low_loss,2.42182175539246e-34,VarK_Regolith_0
layer44,430.2048594568914,10.004764173412696,61.73405186604947,low_loss,2.6043103906733482e-34,VarK_Regolith_0
layer45,440.2096236303041,10.004764173412696,61.775041037131565,low_loss,2.7997575537210146e-34,VarK_Regolith_0
layer46,450.2143878037168,10.004764173412696,61.816060687162484,low_loss,3.009075043230922e-34,VarK_Regolith_0
layer47,460.2191519771295,10.004764173412696,61.857110841102966,low_loss,3.2332382192053184e-34,VarK_Regolith_0
layer48,470.2239161505422,10.004764173412696,61.898191523935985,low_loss,3.4732903919086475e-34,VarK_Regolith_0
layer49,480.2286803239549,10.004764173412696,61.93930276066676,low_loss,3.730347510963493e-34,VarK_Regolith_0
layer50,490.2334444973676,10.0047641734418,61.98044457632283,low_loss,4.005603174911414e-34,VarK_Regolith_0
layer51,500.2382086708094,10.004764173412696,62.02161699595404,low_loss,4.300333982919889e-34,VarK_Regolith_0
layer52,510.2429728442221,10.004764173412696,62.06282004463253,low_loss,4.615905251786002e-34,VarK_Regolith_0
layer53,520.2477370176348,10.004764173412696,62.104053747452845,low_loss,4.953777122908893e-34,VarK_Regolith_0
layer54,530.2525011910475,10.004764173412696,62.145318129531866,low_loss,5.315511085582463e-34,VarK_Regolith_0
layer55,540.2572653644602,10.004764173412696,62.186613216008894,low_loss,5.702776944704352e-34,VarK_Regolith_0
layer56,550.2620295378729,10.004764173412696,62.22793903204563,low_loss,6.1173602628804155e-34,VarK_Regolith_0
layer57,560.2667937112856,10.004764173412696,62.26929560282624,low_loss,6.561170308905033e-34,VarK_Regolith_0
layer58,570.2715578846983,10.004764173412696,62.310682953557304,low_loss,7.0362485467316465e-34,VarK_Regolith_0
layer59,580.276322058111,10.0047641734418,62.35210110946793,low_loss,7.544777701324735e-34,VarK_Regolith_0
layer60,590.2810862315237,10.004764173412696,62.39355009580971,low_loss,8.089091440199111e-34,VarK_Regolith_0
layer61,600.2858504049655,10.004764173412696,62.43502993785675,low_loss,8.671684712068933e-34,VarK_Regolith_0
layer62,610.2906145783782,10.004764173412696,62.47654066090571,low_loss,9.29522478673274e-34,VarK_Regolith_0
layer63,620.2953787517908,10.004764173412696,62.518082290275835,low_loss,9.96256304330968e-34,VarK_Regolith_0
layer64,630.3001429252035,10.004764173412696,62.559654851308935,low_loss,1.067674755704183e-33,VarK_Regolith_0
layer65,640.3049070986162,10.004764173412696,62.601258369369454,low_loss,1.1441036538224136e-33,VarK_Regolith_0
layer66,650.3096712720289,10.004764173412696,62.64289286984447,low_loss,1.2258912680378284e-33,VarK_Regolith_0
layer67,660.3144354454416,10.004764173412696,62.68455837814369,low_loss,1.3134098478576017e-33,VarK_Regolith_0
layer68,670.3191996188543,10.0047641734418,62.72625491969952,low_loss,1.4070572582858726e-33,VarK_Regolith_0
layer69,680.3239637922961,10.004764173412696,62.767982519967056,low_loss,1.507258725598453e-33,VarK_Regolith_0
layer70,690.3287279657088,10.004764173412696,62.80974120442413,low_loss,1.6144687009376775e-33,VarK_Regolith_0
layer71,700.3334921391215,10.004764173412696,62.851530998571306,low_loss,1.7291728495938285e-33,VarK_Regolith_0
layer72,710.3382563125342,10.004764173412696,62.893351927931924,low_loss,1.851890174369782e-33,VarK_Regolith_0
layer73,720.3430204859469,10.004764173412696,62.93520401805209,low_loss,1.9831752819744225e-33,VarK_Regolith_0
layer74,730.3477846593596,10.004764173412696,62.977087294500734,low_loss,2.1236208019832688e-33,VarK_Regolith_0
layer75,740.3525488327723,10.004764173412696,63.0190017828696,low_loss,2.2738599685340692e-33,VarK_Regolith_0
layer76,750.357313006185,10.004764173412696,63.06094750877332,low_loss,2.434569375595826e-33,VarK_Regolith_0
layer77,760.3620771795977,10.0047641734418,63.10292449784936,low_loss,2.6064719173646976e-33,VarK_Regolith_0
layer78,770.3668413530104,10.004764173412696,63.14493277575811,low_loss,2.790339926097858e-33,VarK_Regolith_0
layer79,780.3716055264522,10.004764173412696,63.18697236818288,low_loss,2.9869985205176277e-33,VarK_Regolith_0
layer80,790.3763696998649,10.004764173412696,63.22904330082987,low_loss,3.197329178764134e-33,VarK_Regolith_0
layer81,800.3811338732776,10.004764173412696,63.271145599428316,low_loss,3.422273550812196e-33,VarK_Regolith_0
layer82,810.3858980466903,10.004764173412696,63.31327928973037,low_loss,3.662837526237052e-33,VarK_Regolith_0
layer83,820.390662220103,10.004764173412696,63.35544439751122,low_loss,3.920095574260527e-33,VarK_Regolith_0
layer84,830.3954263935157,10.004764173412696,63.397640948569105,low_loss,4.1951953741196956e-33,VarK_Regolith_0
layer85,840.4001905669284,10.004764173412696,63.439868968725285,low_loss,4.489362754983455e-33,VarK_Regolith_0
layer86,850.404954740341,10.0047641734418,63.48212848382412,low_loss,4.8039069659033164e-33,VarK_Regolith_0
layer87,860.4097189137829,10.004764173412696,63.52441951973306,low_loss,5.14022629762012e-33,VarK_Regolith_0
layer88,870.4144830871955,10.004764173412696,63.56674210234266,low_loss,5.4998140794962466e-33,VarK_Regolith_0
layer89,880.4192472606082,10.004764173412696,63.60909625756662,low_loss,5.8842650763322665e-33,VarK_Regolith_0
layer90,890.4240114340209,10.004764173412696,63.65148201134182,low_loss,6.29528231147855e-33,VarK_Regolith_0
layer91,900.4287756074336,10.004764173412696,63.69389938962831,low_loss,6.73468434435774e-33,VarK_Regolith_0
layer92,910.4335397808463,10.004764173412696,63.73634841840934,low_loss,7.204413032356343e-33,VarK_Regolith_0
layer93,920.438303954259,10.004764173412696,63.77882912369139,low_loss,7.706541808997328e-33,VarK_Regolith_0
layer94,930.4430681276717,10.004764173412696,63.8213415315042,low_loss,8.243284512386436e-33,VarK_Regolith_0
layer95,940.4478323010844,10.004764173412696,63.86388566790081,low_loss,8.817004800139752e-33,VarK_Regolith_0
layer96,950.4525964744971,10.0047641734418,63.906461558957524,low_loss,9.430226189359831e-33,VarK_Regolith_0
layer97,960.4573606479389,10.004764173412696,63.94906923077396,low_loss,1.0085642762724775e-32,VarK_Regolith_0
layer98,970.4621248213516,10.004764173412696,63.99170870947307,low_loss,1.0786130584463537e-32,VarK_Regolith_0
layer99,980.4668889947643,10.004764173412696,64.03438002120123,low_loss,1.1534759872771434e-32,VarK_Regolith_0
layer100,990.471653168177,10.004764173412696,64.07708319212813,low_loss,1.2334807978308143e-32,VarK_Regolith_0
layer101,1000.4764173415897,10.004764173412696,64.11981824844692,low_loss,1.318977322160397e-32,VarK_Regolith_0
layer102,1010.4811815150024,10.004764173412696,64.16258521637415,low_loss,1.4103389645639298e-32,VarK_Regolith_0
layer103,1020.4859456884151,10.004764173412696,64.20538412214988,low_loss,1.5079642743508313e-32,VarK_Regolith_0
layer104,1030.4907098618278,10.004764173412696,64.24821499203757,low_loss,1.6122786224958558e-32,VarK_Regolith_0
layer105,1040.4954740352696,10.0047641734418,64.29107785232426,low_loss,1.723735988973193e-32,VarK_Regolith_0
layer106,1050.5002382086823,10.004764173412696,64.33397272932046,low_loss,1.8428208680003606e-32,VarK_Regolith_0
layer107,1060.505002382095,10.004764173412696,64.37689964936024,low_loss,1.9700502988959935e-32,VarK_Regolith_0
layer108,1070.5097665555077,10.004764173412696,64.41985863880123,low_loss,2.1059760307417602e-32,VarK_Regolith_0
layer109,1080.5145307289204,10.004764173412696,64.46284972402466,low_loss,2.2511868295792384e-32,VarK_Regolith_0
layer110,1090.519294902333,10.004764173412696,64.50587293143538,low_loss,2.4063109374289358e-32,VarK_Regolith_0
layer111,1100.5240590757458,10.004764173412696,64.54892828746186,low_loss,2.572018693019934e-32,VarK_Regolith_0
layer112,1110.5288232491584,10.004764173412696,64.59201581855623,low_loss,2.7490253247555627e-32,VarK_Regolith_0
layer113,1120.5335874225711,10.004764173412696,64.63513555119431,low_loss,2.938093927118504e-32,VarK_Regolith_0
layer114,1130.5383515959838,10.0047641734418,64.67828751187561,low_loss,3.14003863244032e-32,VarK_Regolith_0
layer115,1140.5431157694256,10.004764173412696,64.72147172712337,low_loss,3.355727990723364e-32,VarK_Regolith_0
layer116,1150.5478799428383,10.004764173412696,64.7646882234846,low_loss,3.586088571031194e-32,VarK_Regolith_0
layer117,1160.552644116251,10.004764173412696,64.80793702753007,low_loss,3.8321087988107667e-32,VarK_Regolith_0
layer118,1170.5574082896637,10.004764173412696,64.85121816585439,low_loss,4.09484304445306e-32,VarK_Regolith_0
layer119,1180.5621724630764,10.004764173412696,64.89453166507593,low_loss,4.3754159793679446e-32,VarK_Regolith_0
layer120,1190.5669366364891,10.004764173412696,64.93787755183695,low_loss,4.6750272168970194e-32,VarK_Regolith_0
layer121,1200.5717008099018,10.004764173412696,64.98125585280351,low_loss,4.994956256497387e-32,VarK_Regolith_0
layer122,1210.5764649833145,10.004764173412696,65.02466659466565,low_loss,5.336567750809849e-32,VarK_Regolith_0
layer123,1220.5812291567563,10.0047641734418,65.06810980413724,low_loss,5.701317116480888e-32,VarK_Regolith_0
layer124,1230.585993330169,10.004764173412696,65.11158550795612,low_loss,6.090756510935175e-32,VarK_Regolith_0
layer125,1240.5907575035817,10.004764173412696,65.15509373288408,low_loss,6.506541198736283e-32,VarK_Regolith_0
layer126,1250.5955216769944,10.004764173412696,65.19863450570689,low_loss,6.950436332645151e-32,VarK_Regolith_0
layer127,1260.600285850407,10.004764173412696,65.24220785323433,low_loss,7.424324176126563e-32,VarK_Regolith_0
layer128,1270.6050500238198,10.004764173412696,65.28581380230023,low_loss,7.930211795737182e-32,VarK_Regolith_0
layer129,1280.6098141972325,10.004764173412696,65.32945237976243,low_loss,8.470239253648682e-32,VarK_Regolith_0
layer130,1290.6145783706452,10.004764173412696,65.37312361250287,low_loss,9.046688332485791e-32,VarK_Regolith_0
layer131,1300.6193425440579,10.004764173412696,65.41682752742757,low_loss,9.661991826707479e-32,VarK_Regolith_0
layer132,1310.6241067174706,10.0047641734418,65.4605641514667,low_loss,1.0318743436939021e-31,VarK_Regolith_0
layer133,1320.6288708909124,10.004764173412696,65.50433351157454,low_loss,1.1019708305963935e-31,VarK_Regolith_0
layer134,1330.633635064325,10.004764173412696,65.54813563472956,low_loss,1.1767834237584966e-31,VarK_Regolith_0
layer135,1340.6383992377378,10.004764173412696,65.59197054793441,low_loss,1.256626364211133e-31,VarK_Regolith_0
layer136,1350.6431634111505,10.004764173412696,65.63583827821596,low_loss,1.3418346255074995e-31,VarK_Regolith_0
layer137,1360.6479275845631,10.004764173412696,65.67973885262528,low_loss,1.432765267869241e-31,VarK_Regolith_0
layer138,1370.6526917579758,10.004764173412696,65.72367229823774,low_loss,1.529798879873987e-31,VarK_Regolith_0
layer139,1380.6574559313885,10.004764173412696,65.76763864215303,low_loss,1.6333411132844208e-31,VarK_Regolith_0
layer140,1390.6622201048012,10.004764173412696,65.8116379114951,low_loss,1.7438243169734856e-31,VarK_Regolith_0
layer141,1400.666984278243,10.0047641734418,65.85567013341222,low_loss,1.8617092762772706e-31,VarK_Regolith_0
layer142,1410.6717484516557,10.004764173412696,65.89973533507707,low_loss,1.987487064504957e-31,VarK_Regolith_0
layer143,1420.6765126250684,10.004764173412696,65.94383354368667,low_loss,2.121681013767506e-31,VarK_Regolith_0
layer144,1430.6812767984811,10.004764173412696,65.98796478646241,low_loss,2.264848812726618e-31,VarK_Regolith_0
layer145,1440.6860409718938,10.004764173412696,66.03212909065016,low_loss,2.417584739357405e-31,VarK_Regolith_0
layer146,1450.6908051453065,10.004764173412696,66.07632648352019,low_loss,2.5805220373209684e-31,VarK_Regolith_0
